Viajeros
Totales Territoriales;Comunidad Autónoma;Viajeros o pernoctaciones;Residencia;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M08;676.957
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M07;673.159
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M06;656.321
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M05;561.269
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M04;403.306
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M03;409.239
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M02;341.895
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M01;318.876
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2020M12;358.265
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2020M11;304.090
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2020M10;273.851
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2020M09;333.690
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2023M09;1.312.432
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2023M08;1.164.011
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2023M07;1.254.466
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2023M06;1.237.891
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2023M05;1.285.992
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2023M04;1.223.382
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2023M03;1.081.032
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2023M02;816.691
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2023M01;811.230
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M12;792.069
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M11;940.766
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M10;1.229.379
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M09;1.133.828
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M08;915.087
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M07;1.091.837
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M06;1.088.657
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M05;1.110.766
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M04;1.023.461
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M03;815.168
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M02;588.508
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2022M01;493.728
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M12;613.570
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M11;727.600
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M10;815.634
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M09;636.852
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M08;472.889
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M07;449.637
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M06;299.923
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M05;248.760
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M04;156.690
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M03;172.986
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M02;122.274
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2021M01;109.984
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2020M12;113.179
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2020M11;102.407
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2020M10;110.247
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2020M09;128.843
